State,Indicator,Category,Name,Total
Andaman & Nicobar Island,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),21
Andhra Pradesh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),42.1
Arunachal Pradesh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),17.1
Assam,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),17
Bihar,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),12.5
Chandigarh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),32.6
Chhattisgarh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),36.8
Dadara & Nagar Havelli,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),19.1
Daman & Diu,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),19.5
NCT of Delhi,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),21
Goa,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),23.6
Gujarat,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),30.2
Haryana,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),17.6
Himachal Pradesh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),17
Jammu & Kashmir,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),12.4
Jharkhand,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),24.8
Karnataka,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),29.1
Kerala,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),20.4
Lakshadweep,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),21.7
Madhya Pradesh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),29.9
Maharashtra,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),28.9
Manipur,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),40.9
Meghalaya,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),35.9
Mizoram,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),29.3
Nagaland,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),22.3
Odisha,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),22.5
Puducherry,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),21.2
Punjab,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),18.5
Rajasthan,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),18.6
Sikkim,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),19.9
Tamil Nadu,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),30.5
Telangana,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),45.2
Tripura,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),26.3
Uttar Pradesh,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),16.6
Uttarakhand,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),15.5
West Bengal,102,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women who worked in the last 12 months who were paid in cash (%),22.8
