State,Indicator,Category,Name,Total
Andaman & Nicobar Island,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),92.6
Andhra Pradesh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),79.9
Arunachal Pradesh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),89.1
Assam,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),87.4
Bihar,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),75.2
Chandigarh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),96.6
Chhattisgarh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),90.5
Dadara & Nagar Havelli,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),78.5
Daman & Diu,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),86.7
NCT of Delhi,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),73.8
Goa,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),93.8
Gujarat,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),85.4
Haryana,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),76.7
Himachal Pradesh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),90.8
Jammu & Kashmir,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),84
Jharkhand,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),86.6
Karnataka,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),80.4
Kerala,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),92.1
Lakshadweep,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),80.4
Madhya Pradesh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),82.8
Maharashtra,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),89.3
Manipur,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),96.2
Meghalaya,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),91.4
Mizoram,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),96
Nagaland,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),97.4
Odisha,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),81.8
Puducherry,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),85.1
Punjab,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),90.2
Rajasthan,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),81.7
Sikkim,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),95.3
Tamil Nadu,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),84
Telangana,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),81.1
Tripura,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),91.7
Uttar Pradesh,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),81.7
Uttarakhand,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),89.8
West Bengal,101,Women’s Empowerment and Gender Based Violence (age 15-49 years),Currently married women who usually participate in household decisions (%),89.9
