State,Indicator,Category,Name,Total
Andaman & Nicobar Island,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),29.7
Andhra Pradesh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),44.7
Arunachal Pradesh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),59.7
Assam,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),52.3
Bihar,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),58.8
Chandigarh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),21.6
Chhattisgarh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),26.4
Dadara & Nagar Havelli,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),21.8
Daman & Diu,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),27
NCT of Delhi,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),35
Goa,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),33.9
Gujarat,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),27.2
Haryana,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),35.8
Himachal Pradesh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),11.3
Jammu & Kashmir,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),33.3
Jharkhand,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),49.7
Karnataka,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),51.8
Kerala,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),34.9
Lakshadweep,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),41.7
Madhya Pradesh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),43.5
Maharashtra,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),34.3
Manipur,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),69.9
Meghalaya,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),57.3
Mizoram,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),19.7
Nagaland,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),34.7
Odisha,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),63.5
Puducherry,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),40.3
Punjab,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),32.1
Rajasthan,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),24.1
Sikkim,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),24.8
Tamil Nadu,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),36.2
Telangana,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),50.5
Tripura,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),57.3
Uttar Pradesh,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),34.2
Uttarakhand,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),29.2
West Bengal,105,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),23.8
