State,Indicator,Category,Name,Total
Andaman & Nicobar Island,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),66.9
Andhra Pradesh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),36.2
Arunachal Pradesh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),59.8
Assam,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),46
Bihar,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),40.9
Chandigarh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),74.2
Chhattisgarh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),31
Dadara & Nagar Havelli,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),36.9
Daman & Diu,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),60.6
Goa,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),80.9
Gujarat,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),47.9
Haryana,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),50.5
Himachal Pradesh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),73.9
Jammu & Kashmir,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),54.2
Jharkhand,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),35.2
Karnataka,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),47.1
Kerala,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),81.2
Lakshadweep,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),68
Madhya Pradesh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),28.7
Maharashtra,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),45.6
Manipur,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),63.1
Meghalaya,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),64.3
Mizoram,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),77.3
Nagaland,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),70.5
NCT of Delhi,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),66.6
Odisha,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),39.2
Puducherry,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),67.3
Punjab,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),57.2
Rajasthan,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),41.4
Sikkim,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),79.8
Tamil Nadu,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),62
Telangana,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),47.8
Tripura,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),43.9
Uttar Pradesh,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),37.1
Uttarakhand,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),55.4
West Bengal,107,Women’s Empowerment and Gender Based Violence (age 15-49 years),Women having a mobile phone that they themselves use (%),41.9
