State,Indicator,Category,Name,Total
Andaman & Nicobar Island,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.2
Andhra Pradesh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.8
Arunachal Pradesh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.5
Assam,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.1
Bihar,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.8
Chandigarh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.5
Chhattisgarh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.9
Dadara & Nagar Havelli,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.7
Daman & Diu,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),6.7
NCT of Delhi,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.4
Goa,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.6
Gujarat,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.8
Haryana,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.9
Himachal Pradesh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.5
Jammu & Kashmir,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.3
Jharkhand,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.8
Karnataka,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),6.5
Kerala,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.2
Lakshadweep,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),0
Madhya Pradesh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.3
Maharashtra,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.9
Manipur,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.4
Meghalaya,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),0.4
Mizoram,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.1
Nagaland,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.5
Odisha,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),3.2
Puducherry,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.6
Punjab,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.3
Rajasthan,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.4
Sikkim,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),0.4
Tamil Nadu,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),6.2
Telangana,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),5.9
Tripura,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),2.2
Uttar Pradesh,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),4.3
Uttarakhand,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),1.4
West Bengal,104,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have experienced violence during any pregnancy (%),5
