State,Indicator,Category,Name,Total
Andaman & Nicobar Island,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),18.3
Andhra Pradesh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),43.2
Arunachal Pradesh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),30.6
Assam,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),24.5
Bihar,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),43.2
Chandigarh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),22.5
Chhattisgarh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),36.7
Dadara & Nagar Havelli,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),33.2
Daman & Diu,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),26.6
NCT of Delhi,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),26.8
Goa,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),12.9
Gujarat,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),20.1
Haryana,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),32
Himachal Pradesh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),5.9
Jammu & Kashmir,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),9.4
Jharkhand,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),34
Karnataka,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),20.5
Kerala,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),14.3
Lakshadweep,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),6
Madhya Pradesh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),33
Maharashtra,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),21.4
Manipur,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),53.1
Meghalaya,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),28.7
Mizoram,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),17
Nagaland,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),12.7
Odisha,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),35.2
Puducherry,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),34.5
Punjab,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),20.5
Rajasthan,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),25.1
Sikkim,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),2.6
Tamil Nadu,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),40.6
Telangana,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),43
Tripura,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),27.9
Uttar Pradesh,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),36.7
Uttarakhand,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),12.7
West Bengal,103,Women’s Empowerment and Gender Based Violence (age 15-49 years),Ever-married women who have ever experienced spousal violence (%),32.8
